DATE,POPTHM
1996-10-01,270730
1996-11-01,271002
1996-12-01,271243
1997-01-01,271472
1997-02-01,271703
1997-03-01,271952
1997-04-01,272213
1997-05-01,272482
1997-06-01,272767
1997-07-01,273074
1997-08-01,273395
1997-09-01,273703
1997-10-01,273989
1997-11-01,274249
1997-12-01,274499
1998-01-01,274732
1998-02-01,274943
1998-03-01,275175
1998-04-01,275434
1998-05-01,275700
1998-06-01,275976
1998-07-01,276266
1998-08-01,276566
1998-09-01,276859
1998-10-01,277140
1998-11-01,277402
1998-12-01,277658
1999-01-01,277891
1999-02-01,278095
1999-03-01,278324
1999-04-01,278584
1999-05-01,278859
1999-06-01,279148
1999-07-01,279448
1999-08-01,279752
1999-09-01,280053
1999-10-01,280337
1999-11-01,280594
1999-12-01,280846
2000-01-01,281083
2000-02-01,281299
2000-03-01,281531
2000-04-01,281763
2000-05-01,281996
2000-06-01,282247
2000-07-01,282504
2000-08-01,282769
2000-09-01,283033
2000-10-01,283285
2000-11-01,283523
2000-12-01,283748
2001-01-01,283960
2001-02-01,284166
2001-03-01,284380
2001-04-01,284602
2001-05-01,284834
2001-06-01,285076
2001-07-01,285324
2001-08-01,285584
2001-09-01,285842
2001-10-01,286086
2001-11-01,286315
2001-12-01,286533
2002-01-01,286739
2002-02-01,286935
2002-03-01,287131
2002-04-01,287343
2002-05-01,287571
2002-06-01,287808
2002-07-01,288051
2002-08-01,288303
2002-09-01,288554
2002-10-01,288794
2002-11-01,289012
2002-12-01,289214
2003-01-01,289412
2003-02-01,289606
2003-03-01,289809
2003-04-01,290024
2003-05-01,290250
2003-06-01,290484
2003-07-01,290726
2003-08-01,290974
2003-09-01,291222
2003-10-01,291463
2003-11-01,291677
2003-12-01,291868
2004-01-01,292046
2004-02-01,292230
2004-03-01,292434
2004-04-01,292651
2004-05-01,292872
2004-06-01,293103
2004-07-01,293350
2004-08-01,293603
2004-09-01,293857
2004-10-01,294104
2004-11-01,294337
2004-12-01,294561
2005-01-01,294768
2005-02-01,294955
2005-03-01,295149
2005-04-01,295359
2005-05-01,295582
2005-06-01,295824
2005-07-01,296077
2005-08-01,296338
2005-09-01,296606
2005-10-01,296857
2005-11-01,297089
2005-12-01,297311
2006-01-01,297526
2006-02-01,297734
2006-03-01,297950
2006-04-01,298170
2006-05-01,298401
2006-06-01,298653
2006-07-01,298910
2006-08-01,299178
2006-09-01,299452
2006-10-01,299710
2006-11-01,299950
2006-12-01,300178
2007-01-01,300398
2007-02-01,300608
2007-03-01,300823
2007-04-01,301045
2007-05-01,301278
2007-06-01,301528
2007-07-01,301790
2007-08-01,302064
2007-09-01,302334
2007-10-01,302590
2007-11-01,302834
2007-12-01,303062
2008-01-01,303280
2008-02-01,303494
2008-03-01,303707
2008-04-01,303926
2008-05-01,304157
2008-06-01,304396
2008-07-01,304646
2008-08-01,304903
2008-09-01,305158
2008-10-01,305403
2008-11-01,305620
2008-12-01,305827
2009-01-01,306035
2009-02-01,306237
2009-03-01,306438
2009-04-01,306645
2009-05-01,306863
2009-06-01,307090
2009-07-01,307322
2009-08-01,307570
2009-09-01,307826
2009-10-01,308071
2009-11-01,308289
2009-12-01,308495
2010-01-01,308706
2010-02-01,308904
2010-03-01,309095
2010-04-01,309289.0
2010-05-01,309485.0
2010-06-01,309691.0
2010-07-01,309913.0
2010-08-01,310146.0
2010-09-01,310385.0
2010-10-01,310612.0
2010-11-01,310820.0
2010-12-01,311020.0
2011-01-01,311204.0
2011-02-01,311373.0
2011-03-01,311551.0
2011-04-01,311740.0
2011-05-01,311935.0
2011-06-01,312147.0
2011-07-01,312372.0
2011-08-01,312605.0
2011-09-01,312842.0
2011-10-01,313060.0
2011-11-01,313260.0
2011-12-01,313454.0
2012-01-01,313636.0
2012-02-01,313811.0
2012-03-01,313993.0
2012-04-01,314176.0
2012-05-01,314368.0
2012-06-01,314576.0
2012-07-01,314796.0
2012-08-01,315031.0
2012-09-01,315264.0
2012-10-01,315485.0
2012-11-01,315692.0
2012-12-01,315877.0
2013-01-01,316038.0
2013-02-01,316191.0
2013-03-01,316357.0
2013-04-01,316535.0
2013-05-01,316729.0
2013-06-01,316934.0
2013-07-01,317156.0
2013-08-01,317397.0
2013-09-01,317635.0
2013-10-01,317864.0
2013-11-01,318076.0
2013-12-01,318276.0
2014-01-01,318464.0
2014-02-01,318642.0
2014-03-01,318827.0
2014-04-01,319020.0
2014-05-01,319225.0
2014-06-01,319438.0
2014-07-01,319670.0
2014-08-01,319919.0
2014-09-01,320166.0
2014-10-01,320403.0
2014-11-01,320616.0
2014-12-01,320815.0
2015-01-01,320997.0
2015-02-01,321164.0
2015-03-01,321344.0
2015-04-01,321538.0
2015-05-01,321740.0
2015-06-01,321954.0
2015-07-01,322186.0
2015-08-01,322427.0
2015-09-01,322670.0
2015-10-01,322901.0
2015-11-01,323113.0
2015-12-01,323318.0
2016-01-01,323509.0
2016-02-01,323687.0
2016-03-01,323871.0
2016-04-01,324061.0
2016-05-01,324260.0
2016-06-01,324476.0
2016-07-01,324697.0
2016-08-01,324924.0
2016-09-01,325155.0
2016-10-01,325368.0
2016-11-01,325562.0
2016-12-01,325742.0
2017-01-01,325901.0
2017-02-01,326050.0
2017-03-01,326207.0
2017-04-01,326371.0
2017-05-01,326548.0
2017-06-01,326743.0
2017-07-01,326939.0
2017-08-01,327140.0
2017-09-01,327342.0
2017-10-01,327528.0
2017-11-01,327699.0
2017-12-01,327848.0
2018-01-01,327969.0
2018-02-01,328085.0
2018-03-01,328219.0
2018-04-01,328364.0
2018-05-01,328521.0
2018-06-01,328692.0
2018-07-01,328863.0
2018-08-01,329040.0
2018-09-01,329216.0
2018-10-01,329379.0
2018-11-01,329527.0
2018-12-01,329659.0
2019-01-01,329766.0
2019-02-01,329862.0
2019-03-01,329977.0
2019-04-01,330103.0
2019-05-01,330240.0
2019-06-01,330393.0
2019-07-01,330553.0
2019-08-01,330729.0
2019-09-01,330904.0
2019-10-01,331066.0
2019-11-01,331213.0
2019-12-01,331345.0
2020-01-01,331443.0
2020-02-01,331525.0
2020-03-01,331634.0
2020-04-01,331684.0
2020-05-01,331685.0
2020-06-01,331728.0
2020-07-01,331795.0
2020-08-01,331870.0
2020-09-01,331950.0
2020-10-01,332025.0
2020-11-01,332063.0
2020-12-01,332047.0
2021-01-01,331992.0
2021-02-01,331968.0
2021-03-01,332007.0
2021-04-01,332073.0
2021-05-01,332144.0
2021-06-01,332231.0
2021-07-01,332358.0
2021-08-01,332489.0
2021-09-01,332594.0
2021-10-01,332692.0
2021-11-01,332790.0
2021-12-01,332876.0
2022-01-01,332918.0
2022-02-01,332959.0
2022-03-01,333056.0
2022-04-01,333184.0
2022-05-01,333317.0
2022-06-01,333460.0
2022-07-01,333624.0
2022-08-01,333799.0
2022-09-01,333976.0
2022-10-01,334141.0
2022-11-01,334287.0
2022-12-01,334420.0
2023-01-01,334533.0
2023-02-01,334637.0
2023-03-01,334753.0
2023-04-01,334880.0
2023-05-01,335013.0
2023-06-01,335163.0
2023-07-01,335329.0
