DATE,PI
2008-03-01,12314.7
2008-04-01,12302.6
2008-05-01,12879.3
2008-06-01,12661.0
2008-07-01,12514.8
2008-08-01,12426.0
2008-09-01,12445.0
2008-10-01,12446.5
2008-11-01,12387.1
2008-12-01,12238.5
2009-01-01,12125.6
2009-02-01,12007.4
2009-03-01,11965.3
2009-04-01,12009.4
2009-05-01,12179.6
2009-06-01,12042.9
2009-07-01,11998.4
2009-08-01,12011.2
2009-09-01,12061.1
2009-10-01,12069.4
2009-11-01,12129.6
2009-12-01,12188.2
2010-01-01,12267.7
2010-02-01,12267.6
2010-03-01,12330.9
2010-04-01,12441.8
2010-05-01,12543.7
2010-06-01,12550.7
2010-07-01,12588.7
2010-08-01,12652.9
2010-09-01,12673.4
2010-10-01,12723.6
2010-11-01,12765.5
2010-12-01,12873.1
2011-01-01,13080.7
2011-02-01,13155.6
2011-03-01,13178.2
2011-04-01,13212.8
2011-05-01,13239.1
2011-06-01,13295.7
2011-07-01,13375.8
2011-08-01,13400.3
2011-09-01,13401.5
2011-10-01,13406.4
2011-11-01,13419.7
2011-12-01,13548.9
2012-01-01,13631.6
2012-02-01,13731.1
2012-03-01,13798.5
2012-04-01,13868.1
2012-05-01,13850.3
2012-06-01,13837.1
2012-07-01,13752.9
2012-08-01,13768.5
2012-09-01,13914.1
2012-10-01,14049.2
2012-11-01,14230.7
2012-12-01,14581.4
2013-01-01,13880.4
2013-02-01,13902.0
2013-03-01,13932.2
2013-04-01,13974.9
2013-05-01,14052.5
2013-06-01,14083.9
2013-07-01,14072.0
2013-08-01,14117.3
2013-09-01,14181.7
2013-10-01,14152.3
2013-11-01,14209.6
2013-12-01,14266.5
2014-01-01,14369.2
2014-02-01,14456.4
2014-03-01,14555.0
2014-04-01,14624.5
2014-05-01,14689.5
2014-06-01,14760.1
2014-07-01,14821.1
2014-08-01,14894.2
2014-09-01,14951.2
2014-10-01,15022.7
2014-11-01,15094.0
2014-12-01,15170.9
2015-01-01,15230.8
2015-02-01,15313.3
2015-03-01,15314.2
2015-04-01,15373.5
2015-05-01,15442.7
2015-06-01,15479.0
2015-07-01,15518.6
2015-08-01,15550.5
2015-09-01,15570.5
2015-10-01,15608.0
2015-11-01,15615.4
2015-12-01,15668.4
2016-01-01,15695.5
2016-02-01,15695.9
2016-03-01,15731.6
2016-04-01,15758.9
2016-05-01,15777.2
2016-06-01,15821.4
2016-07-01,15891.5
2016-08-01,15931.3
2016-09-01,15999.1
2016-10-01,16059.4
2016-11-01,16107.6
2016-12-01,16182.5
2017-01-01,16293.3
2017-02-01,16363.5
2017-03-01,16415.1
2017-04-01,16476.0
2017-05-01,16573.2
2017-06-01,16604.0
2017-07-01,16665.9
2017-08-01,16733.7
2017-09-01,16841.9
2017-10-01,16930.8
2017-11-01,16997.5
2017-12-01,17058.2
2018-01-01,17141.7
2018-02-01,17204.1
2018-03-01,17268.2
2018-04-01,17328.7
2018-05-01,17404.4
2018-06-01,17488.4
2018-07-01,17587.6
2018-08-01,17664.0
2018-09-01,17693.5
2018-10-01,17749.8
2018-11-01,17795.7
2018-12-01,18012.4
2019-01-01,18053.9
2019-02-01,18151.4
2019-03-01,18229.5
2019-04-01,18262.1
2019-05-01,18277.0
2019-06-01,18310.5
2019-07-01,18328.6
2019-08-01,18423.6
2019-09-01,18474.4
2019-10-01,18549.5
2019-11-01,18630.7
2019-12-01,18583.8
2020-01-01,18821.5
2020-02-01,18925.6
2020-03-01,18577.4
2020-04-01,20750.9
2020-05-01,19877.2
2020-06-01,19920.9
2020-07-01,20191.5
2020-08-01,19594.2
2020-09-01,19744.9
2020-10-01,19758.5
2020-11-01,19610.4
2020-12-01,19775.2
2021-01-01,21760.9
2021-02-01,20254.0
2021-03-01,24471.8
2021-04-01,21304.2
2021-05-01,20899.7
2021-06-01,20934.3
2021-07-01,21156.5
2021-08-01,21207.3
2021-09-01,21051.2
2021-10-01,21201.4
2021-11-01,21297.7
2021-12-01,21352.9
2022-01-01,21294.8
2022-02-01,21426.2
2022-03-01,21510.5
2022-04-01,21581.3
2022-05-01,21657.1
2022-06-01,21740.7
2022-07-01,21910.5
2022-08-01,22024.3
2022-09-01,22121.5
2022-10-01,22242.2
2022-11-01,22267.7
2022-12-01,22312.3
2023-01-01,22525.3
2023-02-01,22648.4
2023-03-01,22757.9
2023-04-01,22815.8
2023-05-01,22893.1
2023-06-01,22941.5
2023-07-01,22994.3
