DATE,CSUSHPISA
1994-08-01,79.781
1994-09-01,79.919
1994-10-01,80.065
1994-11-01,80.15
1994-12-01,80.296
1995-01-01,80.42699999999999
1995-02-01,80.528
1995-03-01,80.59899999999999
1995-04-01,80.661
1995-05-01,80.704
1995-06-01,80.785
1995-07-01,80.938
1995-08-01,81.11
1995-09-01,81.307
1995-10-01,81.482
1995-11-01,81.619
1995-12-01,81.737
1996-01-01,81.834
1996-02-01,81.95299999999999
1996-03-01,82.194
1996-04-01,82.421
1996-05-01,82.61
1996-06-01,82.75200000000001
1996-07-01,82.929
1996-08-01,83.086
1996-09-01,83.257
1996-10-01,83.37700000000001
1996-11-01,83.553
1996-12-01,83.72200000000001
1997-01-01,83.956
1997-02-01,84.181
1997-03-01,84.45299999999999
1997-04-01,84.62299999999999
1997-05-01,84.86200000000001
1997-06-01,85.08
1997-07-01,85.331
1997-08-01,85.573
1997-09-01,85.851
1997-10-01,86.147
1997-11-01,86.633
1997-12-01,87.09299999999999
1998-01-01,87.615
1998-02-01,88.00299999999999
1998-03-01,88.44200000000001
1998-04-01,88.87899999999999
1998-05-01,89.36399999999999
1998-06-01,89.845
1998-07-01,90.31
1998-08-01,90.786
1998-09-01,91.258
1998-10-01,91.71700000000001
1998-11-01,92.199
1998-12-01,92.712
1999-01-01,93.208
1999-02-01,93.67200000000001
1999-03-01,94.21799999999999
1999-04-01,94.785
1999-05-01,95.344
1999-06-01,95.975
1999-07-01,96.59200000000001
1999-08-01,97.219
1999-09-01,97.863
1999-10-01,98.523
1999-11-01,99.154
1999-12-01,99.845
2000-01-01,100.551
2000-02-01,101.339
2000-03-01,102.12700000000001
2000-04-01,102.92200000000001
2000-05-01,103.678
2000-06-01,104.42399999999999
2000-07-01,105.054
2000-08-01,105.76799999999999
2000-09-01,106.538
2000-10-01,107.382
2000-11-01,108.302
2000-12-01,109.14
2001-01-01,109.846
2001-02-01,110.5
2001-03-01,111.109
2001-04-01,111.652
2001-05-01,112.164
2001-06-01,112.796
2001-07-01,113.491
2001-08-01,114.167
2001-09-01,114.81200000000001
2001-10-01,115.31
2001-11-01,115.85700000000001
2001-12-01,116.455
2002-01-01,117.14399999999999
2002-02-01,117.845
2002-03-01,118.68700000000001
2002-04-01,119.611
2002-05-01,120.72399999999999
2002-06-01,121.81299999999999
2002-07-01,122.88799999999999
2002-08-01,123.83
2002-09-01,124.78
2002-10-01,125.735
2002-11-01,126.67
2002-12-01,127.624
2003-01-01,128.461
2003-02-01,129.355
2003-03-01,130.148
2003-04-01,130.884
2003-05-01,131.735
2003-06-01,132.649
2003-07-01,133.77700000000002
2003-08-01,134.969
2003-09-01,136.29399999999998
2003-10-01,137.531
2003-11-01,138.79399999999998
2003-12-01,140.179
2004-01-01,141.64600000000002
2004-02-01,143.192
2004-03-01,145.059
2004-04-01,146.593
2004-05-01,148.186
2004-06-01,149.85
2004-07-01,151.338
2004-08-01,152.63299999999998
2004-09-01,154.179
2004-10-01,155.75
2004-11-01,157.52700000000002
2004-12-01,159.33
2005-01-01,161.28799999999998
2005-02-01,163.344
2005-03-01,165.812
2005-04-01,167.50099999999998
2005-05-01,169.351
2005-06-01,171.19
2005-07-01,172.86
2005-08-01,174.442
2005-09-01,176.438
2005-10-01,178.028
2005-11-01,179.68
2005-12-01,180.91
2006-01-01,182.321
2006-02-01,183.287
2006-03-01,184.364
2006-04-01,184.329
2006-05-01,184.15599999999998
2006-06-01,183.507
2006-07-01,183.06799999999998
2006-08-01,182.59400000000002
2006-09-01,182.798
2006-10-01,183.19799999999998
2006-11-01,183.609
2006-12-01,184.139
2007-01-01,184.517
2007-02-01,184.59799999999998
2007-03-01,184.15
2007-04-01,183.01
2007-05-01,181.6
2007-06-01,180.25400000000002
2007-07-01,179.111
2007-08-01,178.11599999999999
2007-09-01,177.558
2007-10-01,176.62400000000002
2007-11-01,175.14700000000002
2007-12-01,174.342
2008-01-01,173.132
2008-02-01,171.541
2008-03-01,170.053
2008-04-01,168.338
2008-05-01,166.65900000000002
2008-06-01,165.017
2008-07-01,163.566
2008-08-01,161.987
2008-09-01,160.308
2008-10-01,158.327
2008-11-01,156.142
2008-12-01,153.619
2009-01-01,151.507
2009-02-01,150.015
2009-03-01,148.66
2009-04-01,147.94899999999998
2009-05-01,147.694
2009-06-01,148.09
2009-07-01,148.41
2009-08-01,148.278
2009-09-01,148.025
2009-10-01,147.85
2009-11-01,148.134
2009-12-01,147.929
2010-01-01,147.39600000000002
2010-02-01,145.631
2010-03-01,145.859
2010-04-01,146.403
2010-05-01,146.394
2010-06-01,145.721
2010-07-01,144.991
2010-08-01,143.916
2010-09-01,143.019
2010-10-01,142.531
2010-11-01,142.173
2010-12-01,142.06
2011-01-01,141.52100000000002
2011-02-01,140.35
2011-03-01,139.981
2011-04-01,140.01
2011-05-01,139.905
2011-06-01,139.862
2011-07-01,139.73
2011-08-01,139.309
2011-09-01,138.668
2011-10-01,137.952
2011-11-01,137.15200000000002
2011-12-01,136.674
2012-01-01,136.607
2012-02-01,136.533
2012-03-01,137.904
2012-04-01,139.154
2012-05-01,140.155
2012-06-01,141.029
2012-07-01,141.66899999999998
2012-08-01,142.279
2012-09-01,142.908
2012-10-01,143.6
2012-11-01,144.585
2012-12-01,145.503
2013-01-01,146.827
2013-02-01,147.785
2013-03-01,149.963
2013-04-01,151.519
2013-05-01,152.85
2013-06-01,154.19899999999998
2013-07-01,155.60399999999998
2013-08-01,156.965
2013-09-01,158.227
2013-10-01,159.24200000000002
2013-11-01,160.07399999999998
2013-12-01,160.994
2014-01-01,161.92700000000002
2014-02-01,162.526
2014-03-01,163.086
2014-04-01,163.393
2014-05-01,163.66
2014-06-01,164.062
2014-07-01,164.577
2014-08-01,165.215
2014-09-01,165.905
2014-10-01,166.642
2014-11-01,167.335
2014-12-01,168.05
2015-01-01,168.63400000000001
2015-02-01,169.13
2015-03-01,169.8
2015-04-01,170.298
2015-05-01,170.88099999999997
2015-06-01,171.46900000000002
2015-07-01,172.13
2015-08-01,172.937
2015-09-01,173.828
2015-10-01,174.792
2015-11-01,175.739
2015-12-01,176.543
2016-01-01,177.274
2016-02-01,177.649
2016-03-01,178.16400000000002
2016-04-01,178.767
2016-05-01,179.43
2016-06-01,180.082
2016-07-01,180.832
2016-08-01,181.852
2016-09-01,182.824
2016-10-01,183.75099999999998
2016-11-01,184.75900000000001
2016-12-01,185.722
2017-01-01,186.805
2017-02-01,187.315
2017-03-01,187.993
2017-04-01,188.725
2017-05-01,189.61700000000002
2017-06-01,190.51
2017-07-01,191.452
2017-08-01,192.665
2017-09-01,193.75900000000001
2017-10-01,194.804
2017-11-01,195.955
2017-12-01,197.172
2018-01-01,198.315
2018-02-01,199.232
2018-03-01,199.96599999999998
2018-04-01,200.658
2018-05-01,201.425
2018-06-01,202.233
2018-07-01,202.91299999999998
2018-08-01,203.68900000000002
2018-09-01,204.34900000000002
2018-10-01,205.112
2018-11-01,205.669
2018-12-01,206.15599999999998
2019-01-01,206.53900000000002
2019-02-01,206.862
2019-03-01,207.06599999999997
2019-04-01,207.513
2019-05-01,208.136
2019-06-01,208.649
2019-07-01,209.287
2019-08-01,210.093
2019-09-01,210.90400000000002
2019-10-01,211.791
2019-11-01,212.787
2019-12-01,213.933
2020-01-01,214.99400000000003
2020-02-01,215.864
2020-03-01,216.40200000000002
2020-04-01,216.812
2020-05-01,216.98
2020-06-01,217.61599999999999
2020-07-01,219.378
2020-08-01,222.391
2020-09-01,225.83700000000002
2020-10-01,229.753
2020-11-01,233.208
2020-12-01,236.486
2021-01-01,239.56
2021-02-01,242.36900000000003
2021-03-01,245.465
2021-04-01,249.07
2021-05-01,253.407
2021-06-01,258.358
2021-07-01,262.82
2021-08-01,266.845
2021-09-01,270.377
2021-10-01,273.725
2021-11-01,277.21
2021-12-01,281.342
2022-01-01,285.92400000000004
2022-02-01,291.153
2022-03-01,296.445
2022-04-01,300.573
2022-05-01,303.762
2022-06-01,304.724
2022-07-01,303.879
2022-08-01,301.473
2022-09-01,299.353
2022-10-01,298.873
2022-11-01,298.269
2022-12-01,297.413
2023-01-01,297.03
2023-02-01,297.53700000000003
2023-03-01,298.637
2023-04-01,300.21299999999997
2023-05-01,302.566
2023-06-01,304.593
2023-07-01,306.767
2023-08-01,309.155
2023-09-01,311.175
