DATE,PCU327310327310
2011-11-01,181.9
2011-12-01,182.5
2012-01-01,185.4
2012-02-01,185.8
2012-03-01,185.2
2012-04-01,187.2
2012-05-01,188.7
2012-06-01,188.8
2012-07-01,188.3
2012-08-01,189.0
2012-09-01,189.1
2012-10-01,188.8
2012-11-01,189.1
2012-12-01,188.3
2013-01-01,194.7
2013-02-01,194.4
2013-03-01,194.6
2013-04-01,196.2
2013-05-01,197.5
2013-06-01,197.5
2013-07-01,197.2
2013-08-01,197.7
2013-09-01,197.6
2013-10-01,197.9
2013-11-01,198.0
2013-12-01,197.4
2014-01-01,200.8
2014-02-01,199.2
2014-03-01,199.3
2014-04-01,207.0
2014-05-01,207.1
2014-06-01,207.0
2014-07-01,207.0
2014-08-01,207.8
2014-09-01,208.8
2014-10-01,210.5
2014-11-01,210.3
2014-12-01,210.0
2015-01-01,217.3
2015-02-01,217.7
2015-03-01,217.3
2015-04-01,225.0
2015-05-01,224.4
2015-06-01,223.7
2015-07-01,223.9
2015-08-01,224.8
2015-09-01,224.1
2015-10-01,224.3
2015-11-01,223.8
2015-12-01,224.1
2016-01-01,231.5
2016-02-01,229.3
2016-03-01,229.6
2016-04-01,233.4
2016-05-01,233.2
2016-06-01,233.7
2016-07-01,235.4
2016-08-01,235.1
2016-09-01,234.9
2016-10-01,234.7
2016-11-01,234.9
2016-12-01,233.9
2017-01-01,238.9
2017-02-01,239.4
2017-03-01,239.3
2017-04-01,245.3
2017-05-01,245.5
2017-06-01,245.4
2017-07-01,245.6
2017-08-01,245.6
2017-09-01,244.7
2017-10-01,243.8
2017-11-01,243.4
2017-12-01,243.3
2018-01-01,246.8
2018-02-01,246.6
2018-03-01,246.5
2018-04-01,248.1
2018-05-01,249.2
2018-06-01,251.0
2018-07-01,250.3
2018-08-01,249.6
2018-09-01,249.7
2018-10-01,250.3
2018-11-01,249.9
2018-12-01,249.9
2019-01-01,252.7
2019-02-01,252.1
2019-03-01,251.2
2019-04-01,255.6
2019-05-01,258.1
2019-06-01,257.7
2019-07-01,255.5
2019-08-01,255.4
2019-09-01,255.5
2019-10-01,255.4
2019-11-01,255.1
2019-12-01,255.0
2020-01-01,254.2
2020-02-01,253.9
2020-03-01,253.9
2020-04-01,257.2
2020-05-01,256.2
2020-06-01,258.4
2020-07-01,259.7
2020-08-01,259.6
2020-09-01,259.8
2020-10-01,259.7
2020-11-01,259.5
2020-12-01,259.6
2021-01-01,260.7
2021-02-01,261.3
2021-03-01,261.2
2021-04-01,268.0
2021-05-01,268.2
2021-06-01,268.4
2021-07-01,269.453
2021-08-01,271.193
2021-09-01,271.694
2021-10-01,271.977
2021-11-01,270.722
2021-12-01,271.163
2022-01-01,280.267
2022-02-01,281.955
2022-03-01,281.915
2022-04-01,287.439
2022-05-01,287.567
2022-06-01,288.522
2022-07-01,296.731
2022-08-01,299.595
2022-09-01,301.550
2022-10-01,306.085
2022-11-01,307.269
2022-12-01,307.445
2023-01-01,322.376
2023-02-01,326.256
2023-03-01,326.838
2023-04-01,327.097
2023-05-01,329.026
2023-06-01,328.710
2023-07-01,331.181
